Famille;Genre;Espèce;Cultivar;Origine;Année de plantation;Nom du site;Localisation;Photo 1;Photo 2;Photo 3;Géolocalisation
Asparagaceae;Bellevalia;romana Sweet;;Universitatea de Stiinte Agricole,Cluj-Napoca,Roumanie;2013;Jardin des Plantes;C3;;;;47.2198464, -1.5432582
Aspleniaceae;Ceterach;officinarum DC.;;inconnue;1976;Jardin des Plantes;A2;;;;47.2208871, -1.5444631
Asteraceae;Catananche;caerulea L.;;Botanischer Garten,Friedrich Jena, Jena, Allemagne;2012;Jardin des Plantes;C3;;;;47.2198464, -1.5432582
Asteraceae;Anaphalis;triplinervis Sims;;Emmanuel LEPAGE;2015;Jardin des Plantes;E1;;;;47.2190459, -1.5436715
Asteraceae;Townsendia;hookeri Beaman;;Hortus Botanicus Reykjavikensis (Islande);2012;Jardin des Plantes;C7;;;;47.2198481, -1.5425883
Asteraceae;Kalimeris;pinnatifida Kitam;;Institut biomédical de Tsukuba (Japon);2009;Jardin des Plantes;D3A;;;;47.2201437, -1.5418754
Asteraceae;Tanacetum;corymbosum Sch.Bip.;;J.Alp.Graz (Autriche);2006;Jardin des Plantes;B3;;;;47.220075, -1.5444508
Asteraceae;Carlina;onopordifolia Besser;;J.B. Marie Curie, Lublin (Pologne);2011;Jardin des Plantes;C8;;;;47.2202227, -1.5426922
Asteraceae;Achillea;ageratum L.;;JB. E.M.Heckel (Marseille,France);2011;Jardin des Plantes;C3;;;;47.2198464, -1.5432582
Asteraceae;Inula;montana L.;;JB.d'Aquila (Italie);2006;Jardin des Plantes;B3;;;;47.220075, -1.5444508
Asteraceae;Centaurea;thracica Hayek;;JB.de l'Académie des Sciences de Sofia;2006;Jardin des Plantes;C8;;;;47.2202227, -1.5426922
Asteraceae;Hieracium;pannosum Boiss.;bornmuelleri Zahn;JB.Oberhof (Allemagne);2000;Jardin des Plantes;B9;;;;47.2205226, -1.5429769
Asteraceae;Achillea;pannonica Scheele;;JB.Prague (Rép.Tchèque);2009;Jardin des Plantes;B9;;;;47.2205226, -1.5429769
Asteraceae;Euthamia;graminifolia  Nutt.;;JB.Seattle (USA);2008;Jardin des Plantes;C4;;;;47.2195866, -1.5429564
Asteraceae;Hieracium;bupleuroides Bellarf ex Wild;;JB.Stadt Krefeld (Allemagne);2006;Jardin des Plantes;B3;;;;47.220075, -1.5444508
Asteraceae;Anthemis;tinctoria L.;tinctoria;JB.Téhéran (Iran);2006;Jardin des Plantes;B3;;;;47.220075, -1.5444508
Asteraceae;Ratibida;pinnata Bamh.;;JBU.Lansing (U.S.A.);2006;Jardin des Plantes;C5;;;;47.2193141, -1.5428001
Asteraceae;Coreopsis;tripteris L.;;Réserve Bowman's Hill (U.S.A.);1992;Jardin des Plantes;C4;;;;47.2195866, -1.5429564
Asteraceae;Catananche;caerulea L.;;Tatton Park Knutsford (Angleterre);2006;Jardin des Plantes;C3;;;;47.2198464, -1.5432582
Asteraceae;Olearia;nummularifolia;;;;Arboretum Cimetière Parc;;https://data.nantesmetropole.fr/api/explore/v2.1/catalog/datasets/244400404_collection-vegetale-nantes/files/95caef66389bcc64aa8766a8be3b486e;https://data.nantesmetropole.fr/api/explore/v2.1/catalog/datasets/244400404_collection-vegetale-nantes/files/ee5cea248504e55bd20cbc9a96d023a1;https://data.nantesmetropole.fr/api/explore/v2.1/catalog/datasets/244400404_collection-vegetale-nantes/files/d568e1fdb63ccf5c71c8d8e2eb945f0d;47.271297, -1.582217
Asteraceae;Olearia;solandri;Aurea;;;Arboretum Cimetière Parc;;https://data.nantesmetropole.fr/api/explore/v2.1/catalog/datasets/244400404_collection-vegetale-nantes/files/67d178964937a90df811e046dd2c27db;https://data.nantesmetropole.fr/api/explore/v2.1/catalog/datasets/244400404_collection-vegetale-nantes/files/bc9af6756b702d6f7720e77889e5ad83;;47.271303, -1.586588
Berberidaceae;Podophyllum;hexandrum Royle;;La Boite à Graines, L'Herbergement, France;2013;Jardin des Plantes;E1;;;;47.2190459, -1.5436715
